ano,State,Value,mes_5_PRCP,mes_6_PRCP,mes_7_PRCP,mes_8_PRCP,mes_5_TMean,mes_6_TMean,mes_7_TMean,mes_8_TMean,mes_5_TMAX,mes_6_TMAX,mes_7_TMAX,mes_8_TMAX,mes_5_TMIN,mes_6_TMIN,mes_7_TMIN,mes_8_TMIN,mes_5_diff,mes_6_diff,mes_7_diff,mes_8_diff
1973,ARKANSAS,35.0,42.30897301227871,45.40240963855422,35.477990339155056,15.372601887238964,193.83922538583144,246.65048144601744,268.06765848737604,257.2669132304605,262.61204552365115,309.36829015707605,328.65524413731697,326.76931914795153,125.06101932232242,183.93267273495883,207.49874592857572,187.76905452593508,137.54906623113814,125.43561742211725,121.1349694126753,139.00481183498212
1974,ARKANSAS,44.0,44.90479476383966,72.17819049353183,20.984679216565077,47.83084978019471,219.7383608854639,225.03991667155967,274.0318907697221,251.9478048611313,277.9724587295015,287.1224539065468,343.4240945384861,314.0358607559242,161.50049628167642,162.9576761827,204.63968700095816,189.84544218938024,116.45166283615832,124.15514764438608,138.78440753752795,124.1654245273112
1975,ARKANSAS,50.0,51.879731769050494,42.7057248267802,27.44404791271249,34.489150713165735,216.17140764449596,244.71701878021307,263.67447322051447,260.69269813134065,276.5330144724538,305.64880526741103,327.97635577256125,319.0330566364096,155.8175506088294,183.79062537028508,199.37397519301248,202.3610796495508,120.71048111247742,121.84653862721724,128.58313297362247,116.68071701013778
1976,ARKANSAS,56.0,43.24541416701544,50.554938598795474,21.46643406082353,13.74286666350566,177.12586813599304,229.55664261487163,261.14179095064173,249.28300968189333,243.17689323471689,290.4903623513344,327.6873742412485,325.1929573655027,111.05825951625204,168.6280252844916,194.59905486113385,173.2799405806728,132.1157681792886,121.85723466076008,133.0854721790158,152.00949784150265
1977,ARKANSAS,53.0,16.92045721333078,35.24391146487921,35.79692730874711,26.66146516743241,226.2441113640417,262.63745238887816,277.435750857245,267.5640042100646,293.8556388556134,330.68640122510374,339.2021213397072,328.78131834043563,158.64516225373794,194.591206763508,215.66884338975493,206.37168489900867,135.186213670123,136.07104248254322,123.53381493498016,122.37518289212048
1978,ARKANSAS,60.0,55.2487924367431,30.177067896974755,20.77346212580344,32.9149941779127,203.06228181264288,249.20356065198808,284.1514875414084,267.4650910639101,265.7277275441621,309.53737587969744,354.8321607261997,338.53873136808903,140.2969609734883,185.9586257414647,213.38804288977943,196.42087656155635,125.34639074472553,126.4886015807675,141.39181947738416,142.07338273781264
1979,ARKANSAS,58.0,77.47544457689675,34.518332815779004,44.08197783700781,27.751982116703328,195.17543146038935,238.6744571118672,262.3562294789754,255.57514836003355,256.0578023071802,299.7375136124709,318.6244528791401,316.62959920789115,134.27940093933626,177.63464830044057,206.1681023880403,194.68132884198573,121.7911633137055,122.07961762285336,112.37625418187018,121.75895491532718
1980,ARKANSAS,28.0,48.01871512569018,20.744752657326043,11.489214642223953,5.525719267654751,205.89347352143864,258.1518810018487,298.55199619999763,292.02821163285194,267.99053749207195,321.7525933762451,378.6336563078498,370.8208167035928,143.78399066258518,194.37600811677672,218.47033609214532,213.1982569319316,124.1651568109348,127.55174577014404,160.16332021570452,157.66558114944783
1981,ARKANSAS,65.0,62.73136239445013,46.48626895432748,39.44312393887945,31.49501304264721,186.85310457085785,257.35099092897127,275.40186153797544,254.72964818295557,249.5219656755195,314.576349608783,334.80364150922446,317.8728496454212,124.22928023958428,200.10060711845423,216.00945340985157,191.6669925524063,125.20460285917464,114.4461704572504,118.77141010145806,126.25275223749308
1982,ARKANSAS,90.0,39.641506042499394,53.47968287973293,28.241947827738127,33.77759070823823,218.46338637007324,233.62449036470775,271.54354348579204,266.2672035698285,282.7698916776418,294.05052556139515,332.3695144115247,325.8190384503567,154.15630421773253,173.2164994425864,210.7178651584049,206.7153686893003,128.59421980242684,120.85207039337476,121.65194185146532,119.10366976105642
1983,ARKANSAS,80.0,62.73955543065952,33.625229821658394,23.200615865173027,13.36100887638017,190.3777316045264,235.3992516729864,271.7523323606423,284.1082126619954,251.02569835037315,299.0918029233246,334.65697038788926,357.0528778385399,129.5322110389817,171.75010245792856,208.8798827412364,210.9479997420202,121.83284988858844,127.34837469845289,125.7682466901962,146.32042583995047
1984,ARKANSAS,95.0,59.06670959916086,17.195552079896505,29.160766922287657,35.685534385016744,195.4777962834387,255.3448100192858,261.0730249611675,256.11315783647353,262.5488001566253,321.9503399122807,329.1128996134812,320.1238441044716,128.3467450357354,188.74036930757745,193.02838926416933,192.1024715684755,134.11796745503597,133.19380008087597,136.0892713939963,128.02137253599605
1985,ARKANSAS,108.0,27.86500808251775,26.42903650038767,21.742269962103254,26.243218827142258,207.4449419678006,247.48979819142917,269.28521420345686,264.0954411965548,272.91000349968283,313.5553154162001,339.2472131603071,329.8958453674513,141.97213879563523,181.4099995183566,199.3382930271973,198.3001670282454,130.90897192834856,132.1383655432335,139.89384235251913,131.58316831728314
1986,ARKANSAS,106.0,37.20740786478108,50.34871064321529,10.66815210932858,35.73162185672148,210.92368062694683,255.645604530472,288.7220359366158,250.88660685878776,269.87874667457515,313.45749351286906,357.67948500282967,317.9989937222504,151.97115379337458,197.83501297426184,219.7645868704018,183.7655834477857,117.91013209525669,115.62118311242024,137.91489813242785,134.23749071315868
1987,ARKANSAS,115.0,43.95532057552555,28.65251512332814,24.781135439401297,22.24798989216422,232.17250372317008,252.1165586882443,267.58413621267704,280.13716258315645,295.405587221632,315.7088441788382,328.40157795495,345.9082170662062,168.9354262457,188.5358813847849,206.76254752101264,214.36707389093857,126.45827775625398,127.17615723849777,121.64317738332868,131.54042147866346
1988,ARKANSAS,100.0,14.239018134548576,12.02229085812138,44.17650069950568,22.69884529393083,204.65778009944452,250.8679872979885,266.8896835931189,273.21624174548094,282.779000919604,330.3728666050699,326.00565465902497,338.3458663835875,126.54820430351892,171.36158704808193,207.7674314082121,208.08402696124048,156.21915159185122,159.0128004998132,118.24668003042542,130.26442956848106
1989,ARKANSAS,122.0,53.88300052370877,54.97763387575728,56.4750510328471,14.847185522624343,200.37044264456836,236.17101685767415,255.29232884293043,258.61312758181003,259.8039987582832,289.709534140433,306.9680374111603,320.9583920717735,140.94746999520558,182.6180288375794,203.5842339441572,196.2505400954141,118.8614795852275,107.09893219348275,103.33266492093335,124.68525795361803
1990,ARKANSAS,95.0,84.7730153729051,22.101617944475088,21.45037035465912,18.44271806368581,192.6880834118964,258.5877459077161,268.64952369315694,265.7996514352383,249.21194087415543,320.2804654425644,333.2116643444437,332.3784860736952,136.17932690019495,196.94284635058557,204.08738304187017,199.22081679678132,113.03797498261072,123.28360647414704,129.12428130257354,133.15766927691382
1991,ARKANSAS,100.0,45.37212932935941,23.177761557890783,28.43401901019744,28.02735020724903,226.68127792664689,257.34296862931336,272.7584031291827,259.5123400265663,278.0823172713446,313.65563687658687,336.0800382861001,324.1617027864681,175.2835795857344,200.9999069559241,209.44262145807863,194.8655268779752,102.80510646713084,112.68612334677852,126.63833713303409,129.29193723536554
1992,ARKANSAS,130.0,28.666696898240524,59.732622513963406,43.59796218334616,20.313344208629957,195.3690758750366,235.4212361469017,265.30453241025697,235.9111638674304,258.64361705771245,290.72759640390774,319.8266121803616,295.01834436375003,132.10491491522347,180.1305094114423,210.80832371504087,176.76950927350498,126.52587135476335,110.60975542936032,109.04342628929238,118.28452602908207
1993,ARKANSAS,91.0,42.81811756154617,34.72774697366885,11.5476014830207,28.74809962057882,197.13032331807864,248.2150937451336,286.67683391450345,276.02212693522495,255.55665037293247,303.12379017597755,349.6317846289822,338.2613378737971,138.68139006581828,193.1704158706397,223.7107398711213,213.7973857080055,116.92865306682296,110.11316311099746,125.93218808676431,124.4615680028964
1994,ARKANSAS,120.0,34.51317273998905,32.0519968124879,54.56874077625531,25.20317427870368,192.54274460245617,262.4466332275882,258.0528061441899,247.48785927118607,254.52293296563124,320.9494042275545,314.76517504358,310.86593840800987,130.56786516839426,203.9353070545487,201.36516211724057,184.08456868950452,123.96037672635012,117.02228820042072,113.37333360530134,126.7561582736476
1995,ARKANSAS,115.0,42.86645236756321,31.437819304764595,33.231460896469954,9.524091897513246,203.59452640015328,238.16151129945064,268.3678152116918,286.27720338932386,257.9487056387684,299.17590234386824,329.07842369187006,353.68760610182176,149.24213857418502,177.1664158939486,207.67271928603887,218.8693707779825,108.7067856028411,122.00515421577332,121.41170090672884,134.82080542499577
1996,ARKANSAS,125.0,34.52627485716875,36.11034086269923,44.43627902746299,24.88717818842995,225.34433509399275,248.59260330143107,264.7179469195744,255.8782365699188,281.00552075658163,307.1077032354234,319.780341519016,313.43741539257377,169.72931483294732,190.07646328550047,209.61260619069063,198.3293518461866,111.26428672256124,117.0354094534175,110.21068145776744,115.099782085867
1997,ARKANSAS,125.0,29.775437499550627,43.31538584647431,15.824078548641236,23.30249993843655,190.28349407280737,237.53492669660247,276.39952573570235,254.8427138221545,258.03074848227686,294.3292001958897,338.0372995370522,315.4358137430717,122.56420055622156,180.54415449271792,214.7501666516682,194.2692813917102,135.44868242535827,113.98538960127722,123.29871816806828,121.18619984183438
1998,ARKANSAS,100.0,30.7128632033939,16.97286324786325,25.752557481761126,25.901582323330494,227.47465879000052,267.68965078040344,290.28490638085486,273.229767733472,291.56297211992273,327.1363747739126,352.4879318574619,336.7358260372566,163.40804897993806,208.3208144834671,228.07815938349512,209.7709144450424,128.17662665984443,118.7551348952449,124.41591845831296,126.93351434647276
1999,ARKANSAS,130.0,38.78121248255191,44.562855578186166,15.221037961050962,9.918141077136264,201.755666839404,248.3523243868308,277.04497225321256,275.2417714688105,266.41094583649675,302.1123265513431,334.637197754111,351.8110552071385,137.12314234541898,194.62369925432924,219.46686146081964,198.67758580204256,129.26504898797012,107.4572502650031,115.16086804943232,153.12837133353588
2000,ARKANSAS,130.0,54.13980117786573,61.65827151959311,12.176878885522456,3.1356618560114797,217.043572220471,241.18909497953865,268.30088327166123,290.5695572020566,271.7198206408371,293.4851231959684,329.3625693343861,366.714003886398,162.43357862247356,188.91899355239588,207.25289714467343,214.4600946072195,109.21275106617584,104.52276923909491,122.07890369680742,152.2586084940189
2001,ARKANSAS,145.0,48.18345976602219,25.66549690864016,21.107474623731328,22.648330455069743,211.2171236105395,242.83790072488455,279.12323228736426,272.9679344534732,275.8749483034792,302.94411347270574,336.88108931126004,334.7621419419964,146.5812873657177,182.7429628770571,221.36671204724647,211.1730091386845,129.28839843408264,120.17187935913934,115.51488739966176,123.58655003534712
2002,ARKANSAS,134.0,49.65723302541713,20.824978686655893,32.94341371990985,25.356905678342816,194.033374342871,248.29388515714805,270.47737708808853,266.73871286312254,250.80645119587945,306.8778576747463,325.40423339392885,326.2709776297107,137.28102673923522,189.7169845396881,215.5565186532133,207.22215369739732,113.5046952072716,117.1578392857838,109.84252249929231,119.04309499487904
2003,ARKANSAS,140.0,53.822758767928434,48.77810691910156,27.629136252974067,22.98248373872193,209.3770150396434,228.50134922117968,267.16306967283674,272.4712291499859,265.37515048356386,283.21475256457137,324.47119343583626,332.1279196381949,153.39670658955498,173.79531503690487,209.85140629702357,212.80518515938996,111.95640343184442,109.38155439111324,114.61773454932028,119.33331063888134
2004,ARKANSAS,140.0,40.132977567010464,47.69333455214676,39.054517438059584,21.9532505663852,215.543563888257,244.1521358684328,255.75170999529416,242.18987103084575,269.42996237666324,293.35964492869795,309.003286555991,302.8122672726896,161.64984076744662,194.96030727530737,202.4991934530092,181.569218735135,107.76762291101876,98.383657186251,106.49767067661251,121.24878907001874
2005,ARKANSAS,131.0,17.587646809057535,17.40981712958841,30.835074452843436,23.06234357111056,197.23365698787703,252.76430313099848,267.9286973469547,279.3776278153095,265.4568281675455,316.2909912013467,328.1587644988523,344.27055702599654,129.01048580820864,189.2329221859573,207.70190487657712,214.49695703344892,136.44634235933685,127.08134228866264,120.4607763386549,129.77601885097903
2006,ARKANSAS,146.0,32.28530220243517,22.262445883408887,21.653714762824052,29.672700468094845,210.49307736580195,245.703878342779,274.0146720671182,278.8330846825218,270.1177259427378,309.6504937754949,339.82859974212,341.24603315323617,150.8448736309612,181.7617983082932,208.1800616715556,216.42286533389145,119.29640746968154,127.8841600689716,131.64635046673885,124.8258969414287
2007,ARKANSAS,169.0,31.37466720867632,31.37172194077908,44.61937100466754,7.186721184307554,215.8468061788008,250.2391017974701,254.0540209282537,288.34037301020163,275.63443555385163,306.3287324568894,306.30106051048267,355.9587873300632,156.05240453673775,194.1598094344052,201.81312409424785,220.68555383490505,119.5774955305372,112.16902298861694,104.48179366801168,135.3062859198213
2008,ARKANSAS,152.0,36.964237072054935,37.958272155960046,24.16066569229766,58.34041261679561,200.63572556819943,253.8703154177352,269.77767194108264,254.57800125810937,260.8565187604952,309.068968190459,331.8303242274492,307.67674704978816,140.40445845938143,198.6773433356805,207.6985615750552,201.43433217087284,120.46253421763606,110.38818569135084,124.15822073205489,106.28148354360528
2009,ARKANSAS,148.0,92.54759073394251,21.642229938204995,59.54279109855311,28.761166193540245,197.6821556810721,260.06679714508005,254.7382063234949,248.8756681786492,248.0363176057956,319.01494541733,310.9563544529089,306.188223596118,147.36921691044034,201.1119856700153,198.5112773578327,191.5719948432937,100.67362565948196,117.8989640677274,112.4668666279277,114.59413673770212
2010,ARKANSAS,150.0,54.42273106056246,23.97942896033907,37.76386111841967,12.67339019784445,217.73213479209625,276.11967284226176,278.1612619300485,289.69893451997734,276.62786724865487,333.2762819252416,331.41315450145584,354.8893163316695,158.87975156174983,218.9639002734684,224.90693285058543,224.50805167139552,117.73721217345904,114.3129357823402,106.50378514281472,130.45273555002854
2011,ARKANSAS,141.0,78.0902564664562,13.773159040477994,16.556121754999207,37.36820146968792,195.52125902228607,276.3687077791628,294.0764818382221,284.95114338563286,251.9451583978384,338.72916512298707,357.61707195242803,349.671903374132,139.12935080108306,214.00825043533848,230.54001060226332,220.2400882732849,112.78826876647908,124.7209146876486,127.09859443203536,129.4276584214237
2012,ARKANSAS,178.0,12.876445263255215,15.469049667718815,21.328527108492136,36.111000107707504,229.28306189490905,257.0223046273928,291.3076093706499,268.83299010644373,294.5298645452715,327.9347962824568,355.9135325254954,336.4915494912121,163.95480521698943,186.08922090149613,226.69825508289284,201.17648084581992,130.61156441483132,141.8661674517932,129.21184630969094,135.31415605580307
2013,ARKANSAS,186.0,53.93498615813173,26.714509156105898,35.40889743951703,39.029862913429625,195.61399040773867,251.46313827981564,256.3600696729537,259.22410849713384,252.0578283014745,308.7092253941568,316.9631786935245,316.3106566717958,139.10010332357874,194.24975803156957,195.7799049645595,202.2073502186795,113.0172064158166,114.5233373704656,121.18662384558444,114.08718292823303
2014,ARKANSAS,187.0,51.21875100503729,54.22580262106206,38.8083966609334,24.240714646383456,200.77545300466005,248.50844532221512,241.6392103366492,260.6703855284301,257.7079971665248,296.352716862046,296.57914678271794,318.703930481929,143.83518601468353,200.6719489050697,186.70737619395905,202.63006233925543,113.9109523765362,95.69042274998034,109.87987289213751,116.06902111169008
2015,ARKANSAS,181.0,95.52272428894533,34.96194723549708,45.022607651385,25.850437103805984,206.89803102112396,256.7472625397257,278.0829706816087,256.3323501930914,260.5841677189674,309.81314613418056,331.04919913457474,319.75396055022577,153.2822484802248,203.68828399787932,225.13149114174604,192.9053299891847,107.23156508179824,106.09887695260076,105.91045064381576,126.85095485381608
2016,ARKANSAS,171.0,41.99291880625722,32.00916992637149,45.38809919873796,63.91735330244609,194.76735538310996,261.14148092418463,278.2982393961672,266.44788417971046,251.676501859408,316.86736366079333,332.4637851767898,313.29960634466494,137.88060619678242,205.35804585186492,224.1325495182561,219.5876909587526,113.79779387446976,111.44390549756388,108.33905342248217,93.73999225870178
2017,ARKANSAS,183.0,57.37200237910849,35.45306607488771,44.06670693491302,51.90122594306374,198.01695637321944,241.7600437347616,269.9734586839658,249.5198454121084,259.8576668163017,295.7764496905248,325.04312147848015,297.59472414588674,136.2020074163667,187.7285529191284,214.92946243953352,201.49458870472947,123.65372777387547,108.04823270989904,110.08799248886454,96.12689864374909
2018,ARKANSAS,181.0,31.098752513683745,25.26311220539008,29.54568707439825,58.84293167917782,238.7253344191216,267.1915882580965,276.7041526487367,259.7575599337061,299.74677978809143,327.44572114527534,336.24288463071974,314.782157900809,177.72570093781707,207.0472711588863,217.1491981328592,204.7479591793719,121.99926696260904,120.28863419842035,119.10990903175492,110.01920150866832
2019,ARKANSAS,175.0,83.6002177674566,55.70901304056553,38.28810892939869,44.5847545961558,211.852283771522,241.8271595032232,260.78835845832646,268.2262122927464,266.5927503691305,296.7433176880206,313.4651689210693,322.42765165739564,157.1187813228132,186.92700599188072,208.09951098187145,214.02735382545904,109.472114405753,109.80229479026904,105.37815288410444,108.3912713315578
2020,ARKANSAS,184.0,65.61313617042411,41.057177919553126,32.60001864507575,53.71678994039932,191.54389402179632,246.55040529310097,274.2462601288864,254.72935063900172,248.50892191641992,303.8490465463088,326.6661753841137,312.92233876936706,134.6370659394751,189.26288581231395,221.8706824307376,196.5870757724057,113.81378588449698,114.59052011879488,104.7511553962976,116.2988009442915
2021,ARKANSAS,184.0,59.594690346420784,41.58502268503922,39.40406173954072,21.914446966065025,192.59850684409088,249.3082463610669,263.9876438195245,271.3083200234482,248.16616766021176,302.8231043790698,318.8599062112097,326.7395443242997,137.06243146041382,195.98715340809977,209.16088699056672,215.8762146397922,111.2014010006618,106.98061309994053,109.74452478337042,110.86421076731186
2022,ARKANSAS,173.0,61.28119754509319,29.09819905921097,29.139002644159312,38.26718473517308,215.0242092198164,256.0128495974007,291.19131844061445,264.1280937044321,270.961376437866,317.1209083518575,355.22967697043634,318.210463707924,159.10394916552752,194.9038806173224,227.1753761721747,210.04091791635088,111.87632195270828,122.2161175089136,128.04101474615896,108.19861440733412
2023,ARKANSAS,180.0,32.45700483419411,34.53440561886178,44.4249097922471,29.005043519467463,211.2439133013641,251.53606010273336,272.3947345369691,276.18760097003343,272.98804370711696,314.0886971418651,328.407069790462,338.0632501730454,149.50484419730466,189.01270963369504,216.40807830653324,214.4604462765165,123.48774627024991,125.10087905061104,112.00817144361584,123.4700309899361
1973,IOWA,107.0,49.36188513125972,30.720111290108758,43.03045524507719,23.211670205939825,144.68989306878277,220.05772875816996,232.6431832257732,231.95160384254208,206.8844240516433,284.49979568411385,289.3878858598774,292.5100915712799,82.49536208592225,155.5807609710551,175.77087773062817,171.37688645804252,124.38906196572104,128.9539355742297,113.74461099028996,121.1494347689991
1974,IOWA,80.0,53.0759310549014,41.14176275107737,19.64310070946235,39.76762767951006,148.1621797028989,196.1180716253444,253.32160385645795,204.8395832943451,205.2072878304468,261.68048898071623,322.895409133956,265.1288746801703,91.11825462652403,130.56035812672178,183.76764010471527,144.55029190851988,114.07666358498813,131.1248347107438,139.1079275034854,120.57858277165042
1975,IOWA,90.0,27.339377136750684,46.06328296124986,8.033611911613928,44.24412950412552,175.97962643080126,211.06936582784877,238.6670143597088,234.2786406815732,243.33444953173776,269.3527157876771,306.43940724091914,297.9506326321012,108.62311966701354,152.78463244289588,170.88282227865008,170.8131467506101,134.71301352757544,116.5694667699058,135.5648414931634,126.93098786192628
1976,IOWA,91.0,27.47633692389706,27.18032858900716,21.70884753404424,12.854431686657447,146.23551240718186,211.09587484381825,239.8428425031234,221.05081997918836,215.33017261302209,281.73878208312635,308.30533532696205,293.1959334027055,77.16349483823285,140.4542790046516,171.38034967928473,148.90681165452654,138.14403513789802,141.28478029174005,136.92498564767726,144.29022684703435
1977,IOWA,86.0,22.895085095777254,23.282293810589117,32.74554487895894,64.7184987438408,198.89908765942116,219.6599053102181,250.81512182690577,207.44078457760148,265.6863856607894,290.2166471863223,318.8878274496653,267.5403298901043,132.14185342165598,149.13307638288327,182.6699884562304,147.19449063052545,133.57378807061983,141.16350859075783,136.1564646084734,120.60267412285867
1978,IOWA,115.0,30.265800695828776,36.28201791719,48.04783852223006,27.376056853413527,157.4125698666902,213.2635360515292,229.92152644509335,222.03158310702773,219.09984292397704,280.37261500417753,288.16254959894,288.58898811366885,95.717667884507,146.18662892525387,171.6831832209798,155.47214750894648,123.36281658873376,134.14158182605095,116.46854689758014,133.1146922159336
1979,IOWA,127.0,24.90262031244735,34.24483379769434,38.01663235441151,51.10077499950607,152.37264065672576,209.14380043515848,226.1561996653191,220.1965179126836,223.10110107295995,275.4216899282528,286.61994178601554,277.6086537894284,81.61714832451287,142.89996025136332,165.72149251986664,162.64445875124244,141.4159742742349,132.4931448484646,120.88454210255443,115.10411832288231
1980,IOWA,110.0,23.47644470095953,38.80330768321316,20.87837924123487,63.878014107372415,166.5541844224134,212.2539526293652,251.16949190123495,234.277328783632,240.49589614889592,279.12351966467776,319.42978176905297,296.1626570089645,92.6571617412307,145.4730352175483,183.33473488578505,172.68375177303264,147.81234548573954,133.6280144105686,136.28217578011743,123.5264041375875
1981,IOWA,125.0,20.372474527930425,46.90217124382973,39.686130265702566,41.19166389360183,147.43707065221602,215.94322803131027,232.25932393825613,213.20981667575117,214.91248362913788,281.8572595651452,287.0928552275852,272.8645017921147,80.03420252188616,149.99098467995262,177.42690817370865,153.60243360917033,134.82334825880477,131.62644531792571,109.6577459683602,119.21476613316156
1982,IOWA,120.0,60.150400701610295,32.45758734865552,50.9815211744672,36.60123407318358,172.32012923165257,184.09840968894443,236.5171238615597,215.18231148485677,226.5632733985671,246.7501351366993,296.78688098542307,272.0177510725265,117.99865134446478,121.21150702253534,175.9369248589652,158.0976065922683,108.4862883338291,125.306606824548,120.5033927205132,113.6684398432118
1983,IOWA,87.0,39.341679346723474,46.43626255655241,23.08530316013222,20.400866855833527,136.60859018520247,212.80969415444383,254.27276663589868,259.53611313136344,199.36234843273704,274.4676656539903,319.7357076956811,329.63478095417486,73.60717749065914,151.0116745003086,188.7978043236446,189.59985646134749,125.506019031742,123.31594299909294,130.92205081707235,140.18704663324093
1984,IOWA,112.0,39.01430204074363,56.51325780231578,33.121783452820694,8.27478824305133,142.37881628871253,217.8765393731861,225.7959253330245,233.51075744179192,205.41257142313876,278.2446400115892,291.7537429187093,304.19691157316294,79.34750862782008,157.48817905258585,159.8422522116191,162.83185495755018,126.04623963865876,120.75536510862344,131.9130298065589,141.35780496848352
1985,IOWA,126.0,22.89621088418542,25.373112060041407,21.816549155764324,33.65546442279736,177.0104491614856,195.35218920717185,229.03846106467387,203.3814768884946,245.9887706607225,262.8463751147842,297.4340842442016,265.1817131824956,108.050480139779,127.87295664658916,160.7162305589357,141.58480685660507,137.91993804341325,134.95846512116543,136.64005939804585,123.593632881869
1986,IOWA,135.0,46.31344593223778,38.903695300268026,40.96429616519612,31.89792173868939,164.52461972200368,222.1427695051012,243.71807764683763,198.57714235020467,223.94523616151872,282.9697569717633,300.40894212399576,258.46430389010305,105.10756283681464,161.31524619542864,187.0003372377912,138.6905999175021,118.82108533624358,121.66435931003942,113.41318733870446,119.77308486540512
1987,IOWA,130.0,31.985718839067925,21.7629186620516,43.16583425731839,62.21945673126735,188.73847252062004,230.74871469078724,249.24097111918613,214.80490564817424,258.60051933686515,297.43938921331244,309.3600337762404,270.7791633763878,118.83261466143144,164.07239740384057,189.11972855791208,158.80819008569625,139.71021159708084,133.3526345738933,120.24248512254808,111.93811807713652
1988,IOWA,84.0,14.544788017578387,14.945373374939171,17.918185406112553,35.07214309656347,187.9011463826276,235.582014094004,245.38875101072995,247.14263231051663,265.17036206519987,312.68149342413574,316.2893715049533,316.8936459480724,110.63751991763624,158.4728261025339,174.4951082376623,177.42324306489684,154.52769829938958,154.18589965447512,141.78598689889287,139.43877849123965
1989,IOWA,118.0,20.66457798282339,27.15173342261425,27.23750240864165,28.812136733266797,152.83313748941066,200.86694392933748,241.1820836689525,220.5507918003137,224.4933555533537,264.84737722550307,302.8529300135366,282.5420141571794,81.24585712476423,136.84996526818557,179.51031444629675,158.52873909309724,143.14078038674123,127.90251592383278,123.33226162910698,123.94050425425075
1990,IOWA,126.0,48.44524682823929,67.44934918710887,53.21048887004879,35.37104726083003,137.99290937624258,214.74586185425412,225.7940979926877,223.594023218838,196.94111270159527,271.13564723356603,279.3599235427577,278.58769319219107,78.98115526234625,158.4239482476146,172.07657256936275,168.41218536606746,117.89213208350606,112.70857808492332,107.12090424696612,110.11373792254804
